url,name,price,rating,reviews,manufacturer,asin
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1675394346&sprefix=ba%2Caps%2C283&sr=8-13,"TRUE HUMAN® Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag ,office bag ,college bags,travel bag ( legend )",₹699,3.7 out of 5 stars,"1,702 ratings",B09QJ7ZF2Y,LEGEND-1
https://www.amazon.in/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082VDVJGM&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082VDVJGM&pd_rd_r=0fef2308-356d-4ad8-9520-fd484328ad89&pd_rd_w=ZwyyU&pd_rd_wg=7bVP5&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=T02M2KP51R3F536S5JW3&qid=1675394346&sprefix=ba%2Caps%2C283&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,Kuber Industries Women's Handkerchief Set (Cream),₹312.,3.8 out of 5 stars,472 ratings,,
https://www.amazon.in/Fiesto-Fashion-Womens-Handbag-FIESTO33_Blue/dp/B082Z33ZDS/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082Z33ZDS&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082Z33ZDS&pd_rd_r=0fef2308-356d-4ad8-9520-fd484328ad89&pd_rd_w=ZwyyU&pd_rd_wg=7bVP5&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=T02M2KP51R3F536S5JW3&qid=1675394346&sprefix=ba%2Caps%2C283&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3),₹615,3.9 out of 5 stars,"4,073 ratings",Fiesto Fashion,B082Z33ZDS
https://www.amazon.in/ADISA-women-girls-black-embroided/dp/B08RWBP3H2/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B08RWBP3H2&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B08RWBP3H2&pd_rd_r=0fef2308-356d-4ad8-9520-fd484328ad89&pd_rd_w=ZwyyU&pd_rd_wg=7bVP5&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=T02M2KP51R3F536S5JW3&qid=1675394346&sprefix=ba%2Caps%2C283&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,ADISA women girls embroided sling bag,₹495,4.2 out of 5 stars,"1,412 ratings",ADISA,B08RWBP3H2
https://www.amazon.in/Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF/ref=sxin_24?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B07RXYSJHF&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07RXYSJHF&pd_rd_r=0fef2308-356d-4ad8-9520-fd484328ad89&pd_rd_w=ZwyyU&pd_rd_wg=7bVP5&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=T02M2KP51R3F536S5JW3&qid=1675394346&sprefix=ba%2Caps%2C283&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle,"₹1,039",4.2 out of 5 stars,"3,600 ratings",Coalescent India,B07RXYSJHF
https://www.amazon.in/Blue-Tree-Backpack-Cartoon-Spiderman/dp/B097NH6X4C/ref=sxin_25_trfob_0_B097NH6X4C?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B097NH6X4C&pd_rd_r=0fef2308-356d-4ad8-9520-fd484328ad89&pd_rd_w=mc3vZ&pd_rd_wg=7bVP5&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=T02M2KP51R3F536S5JW3&qid=1675394346&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Konggi Rabbit & Spiderman,₹448,4.2 out of 5 stars,7 ratings,,
https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_25_trfob_1_B08WWG91Q3?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=0fef2308-356d-4ad8-9520-fd484328ad89&pd_rd_w=mc3vZ&pd_rd_wg=7bVP5&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=T02M2KP51R3F536S5JW3&qid=1675394346&sprefix=ba%2Caps%2C283&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86a,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2),₹448,4.0 out of 5 stars,4 ratings,,
https://www.amazon.in/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF/ref=sxin_25_trfob_2_B07HLYW3FF?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07HLYW3FF&pd_rd_r=0fef2308-356d-4ad8-9520-fd484328ad89&pd_rd_w=mc3vZ&pd_rd_wg=7bVP5&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=T02M2KP51R3F536S5JW3&qid=1675394346&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a,Blue Tree 10 LTR Velvet School Backpack,₹339,4.0 out of 5 stars,"1,044 ratings",23 September 2018,Blue Tree
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_25_trfob_3_B09SB5DP5Y?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=0fef2308-356d-4ad8-9520-fd484328ad89&pd_rd_w=mc3vZ&pd_rd_wg=7bVP5&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=T02M2KP51R3F536S5JW3&qid=1675394346&sprefix=ba%2Caps%2C283&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",₹399,4.3 out of 5 stars,46 ratings,B09SB5DP5Y,Draw String Bag 30x40 set of 10
https://www.amazon.in/Amazon-Brand-Solimo-so_flingyrqba_6-Gym/dp/B084DQ182R/ref=sxin_25_trfob_4_B084DQ182R?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B084DQ182R&pd_rd_r=0fef2308-356d-4ad8-9520-fd484328ad89&pd_rd_w=mc3vZ&pd_rd_wg=7bVP5&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=T02M2KP51R3F536S5JW3&qid=1675394346&sprefix=ba%2Caps%2C283&sr=1-5-cc7a04fe-cc55-42ad-b883-1b910070c86a,Amazon Brand - Solimo Polyester Duffel Gym Bag with Shoe Compartment,₹549,4.3 out of 5 stars,92 ratings,,
